"y","lag.1","lag.2","lag.3","lag.4","lag.5","lag.6","lag.7","lag.8","lag.9","lag.10","lag.11","lag.12","lag.13","lag.14","lag.15","lag.16","lag.17","lag.18","lag.19","lag.20","lag.21","lag.22","lag.23","lag.24","lag.25","lag.26","lag.27","lag.28","lag.29","lag.30"
0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0,0
2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0,0
0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0,0
0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01,0
5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0,13.01
0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04,0
0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52,112.04
0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01,50.52
28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9,10.01
0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0,9
0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49,0
41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0,17.49
11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0,0
0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0,0
0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0,0
0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3,0
15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0,13.3
0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0,0
65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17,0
0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0,13.17
0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0,0
0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0,0
0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9,0
0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0,9
0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0,0
0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0,0
0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66,0
0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0,6.66
0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0,0
0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0,0
15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01,0
20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0,2.01
0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0,0
0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18,0
0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0,5.18
0,0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0,0
0,0,0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0,0
15.42,0,0,0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24,0
68.69,15.42,0,0,0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0,28.24
195.72,68.69,15.42,0,0,0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0,0
22.63,195.72,68.69,15.42,0,0,0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73,0
16,22.63,195.72,68.69,15.42,0,0,0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6,41.73
13.34,16,22.63,195.72,68.69,15.42,0,0,0,0,0,20.25,15.22,0,0,0,0,0,0,0,0,0,0,0,65.61,0,15.14,0,0,0,11.6
